nohup: ignoring input
03:58:21 │ INFO     │ Loaded XGBoost degradation model
03:58:21 │ INFO     │ Circuits: ['albert_park', 'bahrain', 'baku', 'barcelona', 'cota', 'hungaroring', 'imola', 'interlagos', 'jeddah', 'las_vegas', 'lusail', 'mexico', 'miami', 'monaco', 'montreal', 'monza', 'shanghai', 'silverstone', 'singapore', 'spa', 'spielberg', 'suzuka', 'yas_marina', 'zandvoort']
03:58:21 │ INFO     │ Drivers: 20
03:58:21 │ INFO     │ Sims per combo: 50
03:58:21 │ INFO     │ Total combos: 9600
03:58:21 │ INFO     │ ============================================================
03:58:21 │ INFO     │   PRECOMPUTING: Australian Grand Prix
03:58:21 │ INFO     │   20 drivers × 20 positions = 400 combos
03:58:21 │ INFO     │ ============================================================
03:59:24 │ INFO     │   20/400 (5%) — 63s elapsed, ~1199s remaining
04:00:28 │ INFO     │   40/400 (10%) — 127s elapsed, ~1142s remaining
04:01:31 │ INFO     │   60/400 (15%) — 189s elapsed, ~1073s remaining
04:02:29 │ INFO     │   80/400 (20%) — 248s elapsed, ~992s remaining
04:03:17 │ INFO     │   100/400 (25%) — 295s elapsed, ~886s remaining
04:04:03 │ INFO     │   120/400 (30%) — 342s elapsed, ~798s remaining
04:04:49 │ INFO     │   140/400 (35%) — 388s elapsed, ~721s remaining
04:05:36 │ INFO     │   160/400 (40%) — 434s elapsed, ~652s remaining
04:06:23 │ INFO     │   180/400 (45%) — 481s elapsed, ~588s remaining
04:07:10 │ INFO     │   200/400 (50%) — 529s elapsed, ~529s remaining
04:07:59 │ INFO     │   220/400 (55%) — 578s elapsed, ~473s remaining
04:08:48 │ INFO     │   240/400 (60%) — 627s elapsed, ~418s remaining
04:09:37 │ INFO     │   260/400 (65%) — 676s elapsed, ~364s remaining
04:10:25 │ INFO     │   280/400 (70%) — 724s elapsed, ~310s remaining
04:11:14 │ INFO     │   300/400 (75%) — 773s elapsed, ~258s remaining
04:12:03 │ INFO     │   320/400 (80%) — 822s elapsed, ~206s remaining
04:12:53 │ INFO     │   340/400 (85%) — 871s elapsed, ~154s remaining
04:13:42 │ INFO     │   360/400 (90%) — 921s elapsed, ~102s remaining
04:14:31 │ INFO     │   380/400 (95%) — 970s elapsed, ~51s remaining
04:15:20 │ INFO     │   400/400 (100%) — 1019s elapsed, ~0s remaining
04:15:20 │ INFO     │   ✓ Australian Grand Prix: 400 combos in 1019s
04:15:20 │ INFO     │   Saved: results/scenarios/scenarios_albert_park.json
04:15:20 │ INFO     │ ============================================================
04:15:20 │ INFO     │   PRECOMPUTING: Bahrain Grand Prix
04:15:20 │ INFO     │   20 drivers × 20 positions = 400 combos
04:15:20 │ INFO     │ ============================================================
04:16:10 │ INFO     │   20/400 (5%) — 50s elapsed, ~947s remaining
04:17:00 │ INFO     │   40/400 (10%) — 100s elapsed, ~900s remaining
04:17:50 │ INFO     │   60/400 (15%) — 150s elapsed, ~851s remaining
04:18:40 │ INFO     │   80/400 (20%) — 200s elapsed, ~800s remaining
04:19:30 │ INFO     │   100/400 (25%) — 250s elapsed, ~749s remaining
04:20:20 │ INFO     │   120/400 (30%) — 299s elapsed, ~699s remaining
04:21:09 │ INFO     │   140/400 (35%) — 349s elapsed, ~648s remaining
04:21:59 │ INFO     │   160/400 (40%) — 399s elapsed, ~599s remaining
04:22:49 │ INFO     │   180/400 (45%) — 449s elapsed, ~549s remaining
04:23:38 │ INFO     │   200/400 (50%) — 498s elapsed, ~498s remaining
04:24:26 │ INFO     │   220/400 (55%) — 546s elapsed, ~447s remaining
04:25:14 │ INFO     │   240/400 (60%) — 594s elapsed, ~396s remaining
04:26:02 │ INFO     │   260/400 (65%) — 642s elapsed, ~346s remaining
04:26:50 │ INFO     │   280/400 (70%) — 690s elapsed, ~296s remaining
04:27:39 │ INFO     │   300/400 (75%) — 738s elapsed, ~246s remaining
04:28:26 │ INFO     │   320/400 (80%) — 786s elapsed, ~197s remaining
04:29:13 │ INFO     │   340/400 (85%) — 833s elapsed, ~147s remaining
04:30:01 │ INFO     │   360/400 (90%) — 881s elapsed, ~98s remaining
04:30:48 │ INFO     │   380/400 (95%) — 928s elapsed, ~49s remaining
04:31:36 │ INFO     │   400/400 (100%) — 976s elapsed, ~0s remaining
04:31:36 │ INFO     │   ✓ Bahrain Grand Prix: 400 combos in 976s
04:31:36 │ INFO     │   Saved: results/scenarios/scenarios_bahrain.json
04:31:36 │ INFO     │ ============================================================
04:31:36 │ INFO     │   PRECOMPUTING: Azerbaijan Grand Prix
04:31:36 │ INFO     │   20 drivers × 20 positions = 400 combos
04:31:36 │ INFO     │ ============================================================
04:32:19 │ INFO     │   20/400 (5%) — 43s elapsed, ~809s remaining
04:33:02 │ INFO     │   40/400 (10%) — 86s elapsed, ~770s remaining
04:33:44 │ INFO     │   60/400 (15%) — 128s elapsed, ~727s remaining
04:34:27 │ INFO     │   80/400 (20%) — 171s elapsed, ~682s remaining
04:35:09 │ INFO     │   100/400 (25%) — 213s elapsed, ~639s remaining
04:35:52 │ INFO     │   120/400 (30%) — 255s elapsed, ~596s remaining
04:36:34 │ INFO     │   140/400 (35%) — 298s elapsed, ~553s remaining
04:37:17 │ INFO     │   160/400 (40%) — 341s elapsed, ~511s remaining
04:37:59 │ INFO     │   180/400 (45%) — 383s elapsed, ~468s remaining
04:38:41 │ INFO     │   200/400 (50%) — 425s elapsed, ~425s remaining
04:39:24 │ INFO     │   220/400 (55%) — 468s elapsed, ~383s remaining
04:40:08 │ INFO     │   240/400 (60%) — 511s elapsed, ~341s remaining
04:40:51 │ INFO     │   260/400 (65%) — 555s elapsed, ~299s remaining
04:41:34 │ INFO     │   280/400 (70%) — 598s elapsed, ~256s remaining
04:42:18 │ INFO     │   300/400 (75%) — 641s elapsed, ~214s remaining
04:43:00 │ INFO     │   320/400 (80%) — 684s elapsed, ~171s remaining
